324,270,pli,270R1#270R3#270R2#270R4,NUMFOOR
325,271,pli,271R1#271R3#271R4#271R2,SUNGAI BULAKA#SUNGAI BIAN#SUNGAI BIAN#SUNGAI BIAN
326,272,pli,272R2#272R1#272R3,MUARA SUNGAI KUMBE#SUNGAI KUMBE#SUNGAI KUMBE
327,273,pli,273,PAPUA-PANTAI SELATAN
328,274,pli,274#274R1,PULAU-PULAU MALUKU
329,275,pli,275R1#275R2#275R4#275#275R3,TELUK SANANA#SELAT LIFUMATOLA#SELAT CAPALULU AND TELUK VESUVIUS#LAUT MALUKU
330,276,pli,276R1#276R2#276R3#276R4#276R5#276R6,SIMEULUE-PANTAI BARAT
331,277,pli,277R1#277#277R2,TELUK SILABULABU#SUMATERA-PANTAI BARAT
332,278,pli,278R1#278R2#278R3#278R4#278R5#278R6#278R7#278R8#278R9#278R10#278R11,PULAU SIBERUT-EAST COAST
333,278A,pli,278A,SUMATERA-WEST COAST
